ぜんこくずかんナンバー,おなまえ,インデックス1,インデックス2,インデックス3,タイプ1,タイプ2,特性1,特性2,隠れ特性,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ,合計,種族値列,初登場作品,出身地,初登場世代,分類,進化段階,属性1,属性2,属性3,英語名,中国語繁体,英語名由来
530,ドリュウズ,ドリュ,,,じめん,はがね,すなかき,すなのちから,かたやぶり,110,135,60,50,65,88,508,110 135 60 50 65 88 合計508,BW,イッシュ,5,ちていポケモン,最終進化,,,,Excadrill,龍頭地鼠,excavate(発掘する) + drill(ドリル)
530.1,メガドリュウズ,メガドリュ,,,じめん,はがね,,,,110,165,100,65,65,103,608,110 165 100 65 65 103 合計608,ZA,カロス,9,ちていポケモン,最終進化,メガシンカ,,,,,
531,タブンネ,,,,ノーマル,,いやしのこころ,さいせいりょく,ぶきよう,103,60,86,60,86,50,445,103 60 86 60 86 50 合計445,BW,イッシュ,5,ヒヤリングポケモン,進化しない,,,,Audino,差不多娃娃,audio(オーディオ) + I dunno(知らない)
531.1,メガタブンネ,,,,ノーマル,フェアリー,いやしのこころ,,,103,60,126,80,126,50,545,103 60 126 80 126 50 合計545,ORAS,ホウエン,6,ヒヤリングポケモン,進化しない,,メガシンカ,,,,
532,ドッコラー,,,,かくとう,,こんじょう,ちからずく,てつのこぶし,75,80,55,25,35,35,305,75 80 55 25 35 35 合計305,BW,イッシュ,5,きんこつポケモン,進化前,,,,Timburr,搬運小匠,timber(木材、角材、梁) + burly(たくましい、頑丈な)
533,ドテッコツ,,,,かくとう,,こんじょう,ちからずく,てつのこぶし,85,105,85,40,50,40,405,85 105 85 40 50 40 合計405,BW,イッシュ,5,きんこつポケモン,中間進化,,,,Gurdurr,鐵骨土人,girder(ガード、けた、大はり) + burly(たくましい、頑丈な)
534,ローブシン,ブシン,武神,,かくとう,,こんじょう,ちからずく,てつのこぶし,105,140,95,55,65,45,505,105 140 95 55 65 45 合計505,BW,イッシュ,5,きんこつポケモン,最終進化,通信進化,,,Conkeldurr,修建老匠,concrete(コンクリート) + elder(年寄り)
535,オタマロ,,,,みず,,すいすい,うるおいボディ,ちょすい,50,50,40,50,40,64,294,50 50 40 50 40 64 合計294,BW,イッシュ,5,おたまポケモン,進化前,,,,Tympole,圓蝌蚪,timpani(ティンパニ) + tadpole(オタマジャクシ)
536,ガマガル,,,,みず,じめん,すいすい,うるおいボディ,ちょすい,75,65,55,65,55,69,384,75 65 55 65 55 69 合計384,BW,イッシュ,5,しんどうポケモン,中間進化,,,,Palpitoad,藍蟾蜍,palpitate(ドキドキする、動悸がする) + toad(ヒキガエル)
537,ガマゲロゲ,,,,みず,じめん,すいすい,どくしゅ,ちょすい,105,95,75,85,75,74,509,105 95 75 85 75 74 合計509,BW,イッシュ,5,しんどうポケモン,最終進化,,,,Seismitoad,蟾蜍王,seismic(地震の) + toad(ヒキガエル)
538,ナゲキ,,,,かくとう,,こんじょう,せいしんりょく,かたやぶり,120,100,85,30,85,45,465,120 100 85 30 85 45 合計465,BW,イッシュ,5,じゅうどうポケモン,進化しない,,,,Throh,投摔鬼,throw(投げる)
539,ダゲキ,,,,かくとう,,がんじょう,せいしんりょく,かたやぶり,75,125,75,30,75,85,465,75 125 75 30 75 85 合計465,BW,イッシュ,5,からてポケモン,進化しない,,,,Sawk,打擊鬼,sock(殴る、靴下)
540,クルミル,,,,むし,くさ,むしのしらせ,ようりょくそ,ぼうじん,45,53,70,40,60,42,310,45 53 70 40 60 42 合計310,BW,イッシュ,5,さいほうポケモン,進化前,序盤虫,,,Sewaddle,蟲寶包,sew(縫う) + swaddle(細長い布で巻く)
541,クルマユ,,,,むし,くさ,リーフガード,ようりょくそ,ぼうじん,55,63,90,50,80,42,380,55 63 90 50 80 42 合計380,BW,イッシュ,5,はごもりポケモン,中間進化,序盤虫,,,Swadloon,寶包繭,swaddle(細長い布で巻く) + cocoon(繭)
542,ハハコモリ,,,,むし,くさ,むしのしらせ,ようりょくそ,ぼうじん,75,103,80,70,80,92,500,75 103 80 70 80 92 合計500,BW,イッシュ,5,こそだてポケモン,最終進化,序盤虫,,,Leavanny,保母蟲,leaves(葉) + nanny(乳母)
543,フシデ,,,,むし,どく,どくのトゲ,むしのしらせ,かそく,30,45,59,30,39,57,260,30 45 59 30 39 57 合計260,BW,イッシュ,5,ムカデポケモン,進化前,,,,Venipede,百足蜈蚣,venom(毒液) + centipede(ムカデ)
544,ホイーガ,,,,むし,どく,どくのトゲ,むしのしらせ,かそく,40,55,99,40,79,47,360,40 55 99 40 79 47 合計360,BW,イッシュ,5,まゆムカデポケモン,中間進化,,,,Whirlipede,車輪毬,whirl(回転、渦を巻く) + centipede(ムカデ)
545,ペンドラー,,,,むし,どく,どくのトゲ,むしのしらせ,かそく,60,100,89,55,69,112,485,60 100 89 55 69 112 合計485,BW,イッシュ,5,メガムカデポケモン,最終進化,,,,Scolipede,蜈蚣王,scolopendra(オオムカデ属) + centipede(ムカデ)
545.1,メガペンドラー,,,,むし,どく,,,,60,140,149,75,99,62,585,60 140 149 75 99 62 合計585,ZA,カロス,9,メガムカデポケモン,最終進化,メガシンカ,,,,,
546,モンメン,,,,くさ,フェアリー,いたずらごころ,すりぬけ,ようりょくそ,40,27,60,37,50,66,280,40 27 60 37 50 66 合計280,BW,イッシュ,5,わたたまポケモン,進化前,,,,Cottonee,木棉球,cotton(綿) + wee(ちっぽけな、とても早い)
547,エルフーン,エルフ,,,くさ,フェアリー,いたずらごころ,すりぬけ,ようりょくそ,60,67,85,77,75,116,480,60 67 85 77 75 116 合計480,BW,イッシュ,5,かぜかくれポケモン,最終進化,,,,Whimsicott,風妖精,whimsical(気まぐれな、変な) + cotton(綿)
548,チュリネ,,,,くさ,,ようりょくそ,マイペース,リーフガード,45,35,50,70,50,30,280,45 35 50 70 50 30 合計280,BW,イッシュ,5,ねっこポケモン,進化前,,,,Petilil,百合根娃娃,petal(花びら、花弁) + lily(ユリ)
549,ドレディア,,,,くさ,,ようりょくそ,マイペース,リーフガード,70,60,75,110,75,90,480,70 60 75 110 75 90 合計480,BW,イッシュ,5,はなかざりポケモン,最終進化,,,,Lilligant,裙兒小姐,lily(ユリ) + elegant(上品な、優美な)
549.1,ドレディア(ヒスイのすがた),ヒスイドレディア,,,くさ,かくとう,ようりょくそ,はりきり,リーフガード,70,105,75,50,75,105,480,70 105 75 50 75 105 合計480,LA,ヒスイ,8,スピンポケモン,最終進化,,リージョンフォーム,,,,
550,バスラオ(あかすじのすがた),バスラオ,あかすじバスラオ,バスラオ赤,みず,,すてみ,てきおうりょく,かたやぶり,70,92,65,80,55,98,460,70 92 65 80 55 98 合計460,BW,イッシュ,5,らんぼうポケモン,進化しない,,,,Basculin,野蠻鱸魚,bass(魚：バス) + masculine(力強い、男性の)
550.1,バスラオ(あおすじのすがた),あおすじバスラオ,バスラオ青,,みず,,いしあたま,てきおうりょく,かたやぶり,70,92,65,80,55,98,460,70 92 65 80 55 98 合計460,BW,イッシュ,5,らんぼうポケモン,進化しない,,,,,,
550.2,バスラオ(しろすじのすがた),しろすじバスラオ,ヒスイバスラオ,,みず,,びびり,てきおうりょく,かたやぶり,70,92,65,80,55,98,460,70 92 65 80 55 98 合計460,LA,ヒスイ,8,らんぼうポケモン,進化前,,,,,,
551,メグロコ,,,,じめん,あく,いかく,じしんかじょう,いかりのつぼ,50,72,35,35,35,65,292,50 72 35 35 35 65 合計292,BW,イッシュ,5,さばくワニポケモン,進化前,,,,Sandile,黑眼鱷,sand(砂) + crocodile(ワニ)
552,ワルビル,,,,じめん,あく,いかく,じしんかじょう,いかりのつぼ,60,82,45,45,45,74,351,60 82 45 45 45 74 合計351,BW,イッシュ,5,さばくワニポケモン,中間進化,,,,Krokorok,混混鱷,crocodile(ワニ) + rock(岩)
553,ワルビアル,,,,じめん,あく,いかく,じしんかじょう,いかりのつぼ,95,117,80,65,70,92,519,95 117 80 65 70 92 合計519,BW,イッシュ,5,いかくポケモン,最終進化,,,,Krookodile,流氓鱷,crook(盗む、犯罪者、曲げる) + crocodile(ワニ)
554,ダルマッカ,,,,ほのお,,はりきり,,せいしんりょく,70,90,45,15,45,50,315,70 90 45 15 45 50 合計315,BW,イッシュ,5,だるまポケモン,進化前,,,,Darumaka,火紅不倒翁,ダルマ + 真っ赤
554.1,ダルマッカ(ガラルのすがた),ガラルダルマッカ,,,こおり,,はりきり,,せいしんりょく,70,90,45,15,45,50,315,70 90 45 15 45 50 合計315,SWSH,ガラル,8,だるまポケモン,進化前,,リージョンフォーム,,,,
555,ヒヒダルマ(ノーマルモード),ヒヒダルマ,ダルマ,,ほのお,,ちからずく,,ダルマモード,105,140,55,30,55,95,480,105 140 55 30 55 95 合計480,BW,イッシュ,5,えんじょうポケモン,最終進化,,,,Darmanitan,達摩狒狒,ダルマ + orangutan(オランウータン)
555.1,ヒヒダルマ(ダルマモード),ヒヒダルマダルマモード,ダルマモード,,ほのお,エスパー,ちからずく,,ダルマモード,105,30,105,140,105,55,540,105 30 105 140 105 55 合計540,BW,イッシュ,5,えんじょうポケモン,最終進化,,,,,,
555.2,ヒヒダルマ(ガラルのすがた),ガラルヒヒダルマ,,,こおり,,ごりむちゅう,,ダルマモード,105,140,55,30,55,95,480,105 140 55 30 55 95 合計480,SWSH,ガラル,8,だるまポケモン,最終進化,,リージョンフォーム,,,,
555.3,ヒヒダルマ(ガラルのすがた・ダルマモード),ガラルヒヒダルマダルマモード,ガラルダルマモード,,こおり,ほのお,ごりむちゅう,,ダルマモード,105,160,55,30,55,135,540,105 160 55 30 55 135 合計540,SWSH,ガラル,8,だるまポケモン,最終進化,,リージョンフォーム,,,,
556,マラカッチ,,,,くさ,,ちょすい,ようりょくそ,よびみず,75,86,67,106,67,60,461,75 86 67 106 67 60 合計461,BW,イッシュ,5,サボテンポケモン,進化しない,,,,Maractus,沙鈴仙人掌,maracas(マラカス) + cactus(サボテン)
557,イシズマイ,,,,むし,いわ,がんじょう,シェルアーマー,くだけるよろい,50,65,85,35,35,55,325,50 65 85 35 35 55 合計325,BW,イッシュ,5,いしやどポケモン,進化前,,,,Dwebble,石居蟹,dwell(住む) + pebble(小石)
558,イワパレス,,,,むし,いわ,がんじょう,シェルアーマー,くだけるよろい,70,105,125,65,75,45,485,70 105 125 65 75 45 合計485,BW,イッシュ,5,いわやどポケモン,最終進化,,,,Crustle,岩殿居蟹,crust(地殻、パイの皮) + castle(城)
559,ズルッグ,,,,あく,かくとう,だっぴ,じしんかじょう,いかく,50,75,70,35,70,48,348,50 75 70 35 70 48 合計348,BW,イッシュ,5,だっぴポケモン,進化前,,,,Scraggy,滑滑小子,scrappy(喧嘩好きな) + baggy(だぶだぶの)
560,ズルズキン,,,,あく,かくとう,だっぴ,じしんかじょう,いかく,65,90,115,45,115,58,488,65 90 115 45 115 58 合計488,BW,イッシュ,5,あくとうポケモン,最終進化,,,,Scrafty,頭巾混混,scrappy(喧嘩好きな) + crafty(ずるい、悪賢い)
560.1,メガズルズキン,,,,あく,かくとう,,,,65,130,135,55,135,68,588,65 130 135 55 135 68 合計588,ZA,カロス,9,あくとうポケモン,最終進化,メガシンカ,,,,,
561,シンボラー,,,,エスパー,ひこう,ミラクルスキン,マジックガード,いろめがね,72,58,80,103,80,97,490,72 58 80 103 80 97 合計490,BW,イッシュ,5,とりもどきポケモン,進化しない,,,,Sigilyph,象徵鳥,sigil(図形、記号、紋章) + glyph(絵を使った標識)
562,デスマス,,,,ゴースト,,ミイラ,,,38,30,85,55,65,30,303,38 30 85 55 65 30 合計303,BW,イッシュ,5,たましいポケモン,進化前,,,,Yamask,哭哭面具,Yama(ヒンドゥー教の死の神) + mask(仮面)
562.1,デスマス(ガラルのすがた),ガラルデスマス,,,ゴースト,,さまようたましい,,,38,30,85,55,65,30,303,38 30 85 55 65 30 合計303,SWSH,ガラル,8,たましいポケモン,進化前,,リージョンフォーム,,,,
563,デスカーン,,,,ゴースト,,ミイラ,,,58,50,145,95,105,30,483,58 50 145 95 105 30 合計483,BW,イッシュ,5,かんおけポケモン,最終進化,,,,Cofagrigus,死神棺,coffin(棺桶) + sarcophagus(石棺)
564,プロトーガ,,,,みず,いわ,ハードロック,がんじょう,すいすい,54,78,103,53,45,22,355,54 78 103 53 45 22 合計355,BW,イッシュ,5,こだいがめポケモン,進化前,カセキポケモン,,,Tirtouga,原蓋海龜,tortuga(スペイン語：亀)
565,アバゴーラ,,,,みず,いわ,ハードロック,がんじょう,すいすい,74,108,133,83,65,32,495,74 108 133 83 65 32 合計495,BW,イッシュ,5,こだいがめポケモン,最終進化,カセキポケモン,,,Carracosta,肋骨海龜,carapace(背甲、甲羅、甲皮) + costa(スペイン語：海岸)
566,アーケン,,,,いわ,ひこう,よわき,,,55,112,45,74,45,70,401,55 112 45 74 45 70 合計401,BW,イッシュ,5,さいこどりポケモン,進化前,カセキポケモン,,,Archen,始祖小鳥,Archean(始生代の、太古代の) + archaeopteryx(始祖鳥)
567,アーケオス,,,,いわ,ひこう,よわき,,,75,140,65,112,65,110,567,75 140 65 112 65 110 合計567,BW,イッシュ,5,さいこどりポケモン,最終進化,カセキポケモン,,,Archeops,始祖大鳥,archaeopteryx(始祖鳥)
568,ヤブクロン,,,,どく,,あくしゅう,ねんちゃく,ゆうばく,50,50,62,40,62,65,329,50 50 62 40 62 65 合計329,BW,イッシュ,5,ゴミぶくろポケモン,進化前,,,,Trubbish,破破袋,trash(ゴミ) + rubbish(ゴミ)
569,ダストダス,,,,どく,,あくしゅう,くだけるよろい,ゆうばく,80,95,82,60,82,75,474,80 95 82 60 82 75 合計474,BW,イッシュ,5,ゴミすてばポケモン,最終進化,,,,Garbodor,灰塵山,garbage(ゴミ) + odor(臭い)
570,ゾロア,,,,あく,,イリュージョン,,,40,65,40,80,40,65,330,40 65 40 80 40 65 合計330,BW,イッシュ,5,わるぎつねポケモン,進化前,,,,Zorua,索羅亞,zorro(スペイン語：キツネ)
570.1,ゾロア(ヒスイのすがた),ヒスイゾロア,,,ノーマル,ゴースト,イリュージョン,,,35,60,40,85,40,70,330,35 60 40 85 40 70 合計330,LA,ヒスイ,8,うらみぎつねポケモン,進化前,,リージョンフォーム,,,,
571,ゾロアーク,,,,あく,,イリュージョン,,,60,105,60,120,60,105,510,60 105 60 120 60 105 合計510,BW,イッシュ,5,ばけぎつねポケモン,最終進化,,,,Zoroark,索羅亞克,zorro(スペイン語：キツネ) + dark(暗い、闇)
571.1,ゾロアーク(ヒスイのすがた),ヒスイゾロアーク,,,ノーマル,ゴースト,イリュージョン,,,55,100,60,125,60,110,510,55 100 60 125 60 110 合計510,LA,ヒスイ,8,のろいぎつねポケモン,最終進化,,リージョンフォーム,,,,
572,チラーミィ,,,,ノーマル,,メロメロボディ,テクニシャン,スキルリンク,55,50,40,40,40,75,300,55 50 40 40 40 75 合計300,BW,イッシュ,5,チンチラポケモン,進化前,,,,Minccino,泡沫栗鼠,mini(小さい) + chinchilla(チンチラ)
573,チラチーノ,,,,ノーマル,,メロメロボディ,テクニシャン,スキルリンク,75,95,60,65,60,115,470,75 95 60 65 60 115 合計470,BW,イッシュ,5,スカーフポケモン,最終進化,,,,Cinccino,奇諾栗鼠,chinchilla(チンチラ) + chino cloth(チノクロス)
574,ゴチム,,,,エスパー,,おみとおし,かちき,かげふみ,45,30,50,55,65,45,290,45 30 50 55 65 45 合計290,BW,イッシュ,5,ぎょうしポケモン,進化前,,,,Gothita,哥德寶寶,gothic(幻想的、ゴシックの) + lolita(少女愛)
575,ゴチミル,,,,エスパー,,おみとおし,かちき,かげふみ,60,45,70,75,85,55,390,60 45 70 75 85 55 合計390,BW,イッシュ,5,あやつりポケモン,中間進化,,,,Gothorita,哥德小童,Gothic & Lolita(ゴスロリ) + senorita(スペイン語：女性)
576,ゴチルゼル,ゴチル,,,エスパー,,おみとおし,かちき,かげふみ,70,55,95,95,110,65,490,70 55 95 95 110 65 合計490,BW,イッシュ,5,てんたいポケモン,最終進化,,,,Gothitelle,哥德小姐,Gothic & Lolita(ゴスロリ) + mademoiselle(フランス語：女性)
577,ユニラン,,,,エスパー,,ぼうじん,マジックガード,さいせいりょく,45,30,40,105,50,20,290,45 30 40 105 50 20 合計290,BW,イッシュ,5,さいぼうポケモン,進化前,,,,Solosis,單卵細胞球,solo(単独、独り) + mitosis(有糸分裂)
578,ダブラン,,,,エスパー,,ぼうじん,マジックガード,さいせいりょく,65,40,50,125,60,30,370,65 40 50 125 60 30 合計370,BW,イッシュ,5,ぶんかつポケモン,中間進化,,,,Duosion,雙卵細胞球,duo(二人組、二重奏) + fission(分裂)
579,ランクルス,,,,エスパー,,ぼうじん,マジックガード,さいせいりょく,110,65,75,125,85,30,490,110 65 75 125 85 30 合計490,BW,イッシュ,5,ぞうふくポケモン,最終進化,,,,Reuniclus,人造細胞卵,reunite(再結合する) + homunculus(ホムンクルス)
580,コアルヒー,,,,みず,ひこう,するどいめ,はとむね,うるおいボディ,62,44,50,44,50,55,305,62 44 50 44 50 55 合計305,BW,イッシュ,5,みずどりポケモン,進化前,,,,Ducklett,鴨寶寶,duck(アヒル) + lett(接尾辞：小さい)
